"id_delito","tipo","uso_arma","barrio"
"45011","Robo","NO","PALERMO"
"45013","Robo","NO","PALERMO"
"45015","Robo","NO","PALERMO"
"45017","Robo","NO","PALERMO"
"45026","Robo","NO","PALERMO"
"45028","Robo","NO","PALERMO"
"45030","Robo","NO","PALERMO"
"45032","Robo","NO","PALERMO"
"45034","Robo","NO","PALERMO"
"45035","Robo","NO","PALERMO"
"45037","Robo","NO","PALERMO"
"45039","Robo","NO","PALERMO"
"45042","Robo","NO","PALERMO"
"45043","Robo","NO","PALERMO"
"45046","Robo","NO","PALERMO"
"45047","Robo","NO","PALERMO"
"45048","Robo","NO","PALERMO"
"45049","Robo","NO","PALERMO"
"45051","Robo","NO","PALERMO"
"45052","Robo","NO","PALERMO"
"45053","Robo","NO","PALERMO"
"45054","Robo","NO","PALERMO"
"45056","Robo","NO","PALERMO"
"45058","Robo","NO","PALERMO"
"45062","Robo","NO","PALERMO"
"45063","Robo","NO","PALERMO"
"45065","Robo","NO","PALERMO"
"45066","Robo","NO","PALERMO"
"45067","Robo","NO","PALERMO"
"45069","Robo","NO","PALERMO"
"45071","Robo","NO","PALERMO"
"45075","Robo","NO","PALERMO"
"45078","Robo","NO","PALERMO"
"45083","Robo","NO","PALERMO"
"45089","Robo","NO","PALERMO"
"45091","Robo","NO","PALERMO"
"45092","Robo","NO","PALERMO"
"45093","Robo","NO","PALERMO"
"45095","Robo","NO","PALERMO"
"45098","Robo","NO","PALERMO"
"45099","Robo","NO","PALERMO"
"45101","Robo","NO","PALERMO"
"45106","Robo","NO","PALERMO"
"45107","Robo","NO","PALERMO"
"45112","Robo","NO","PALERMO"
"45116","Robo","NO","PALERMO"
"45124","Robo","NO","PALERMO"
"45125","Robo","NO","PALERMO"
"45126","Robo","NO","PALERMO"
"45128","Robo","NO","PALERMO"
"45130","Robo","NO","PALERMO"
"45133","Robo","NO","PALERMO"
"45135","Robo","NO","PALERMO"
"45136","Robo","NO","PALERMO"
"45139","Robo","NO","PALERMO"
"45141","Robo","NO","PALERMO"
"45142","Robo","NO","PALERMO"
"45143","Robo","NO","PALERMO"
"45144","Robo","NO","PALERMO"
"45145","Robo","NO","PALERMO"
"45147","Robo","NO","PALERMO"
