"ID_SUELDO","SUELDO_NETO","ID_PUESTO_TRABAJO","FECHA"
"2041","2430000","12","2/25/2025"
"3013","2436871","12","2/25/2025"
"3947","2437000","12","2/25/2025"
"4397","2450000","12","2/25/2025"
"4634","2477943","12","2/25/2025"
"3552","2479375","12","2/25/2025"
"2328","2495000","12","2/25/2025"
"3812","2500000","12","2/25/2025"
"2815","2500000","12","2/25/2025"
"3018","2500000","12","2/25/2025"
"3276","2500000","12","2/25/2025"
"3371","2500000","12","2/25/2025"
"2543","2500000","12","2/25/2025"
"4969","2500000","12","2/25/2025"
"3421","2500000","12","2/25/2025"
"2962","2503280","12","2/25/2025"
"3783","2600000","12","2/25/2025"
"3677","2600000","12","2/25/2025"
"3610","2600000","12","2/25/2025"
"2752","2605000","12","2/25/2025"
"3753","2607595","12","2/25/2025"
"5283","2620000","12","2/25/2025"
"3561","2630412","12","2/25/2025"
"3311","2643000","12","2/25/2025"
"3723","2645000","12","2/25/2025"
"4271","2645000","12","2/25/2025"
"4167","2650000","12","2/25/2025"
"3823","2690000","12","2/25/2025"
"4756","2700000","12","2/25/2025"
"3718","2700000","12","2/25/2025"
"5173","2700000","12","2/25/2025"
"2725","2709000","12","2/25/2025"
"4109","2732180","12","2/25/2025"
"3463","2759225","12","2/25/2025"
"5127","2767886","12","2/25/2025"
"4600","2793000","12","2/25/2025"
"3775","2794000","12","2/25/2025"
"3553","2794159","12","2/25/2025"
"4532","2800000","12","2/25/2025"
"2517","2800000","12","2/25/2025"
"4326","2800000","12","2/25/2025"
"3278","2800000","12","2/25/2025"
"2859","2800000","12","2/25/2025"
"3137","2800000","12","2/25/2025"
"4901","2857324","12","2/25/2025"
"2437","2881068","12","2/25/2025"
"2469","2900000","12","2/25/2025"
"4458","2900000","12","2/25/2025"
"4555","2900000","12","2/25/2025"
"2498","2913740","12","2/25/2025"
"4153","3000000","12","2/25/2025"
"2547","3000000","12","2/25/2025"
"4425","3000000","12","2/25/2025"
"3468","3000000","12","2/25/2025"
"2288","3000000","12","2/25/2025"
"4303","3000000","12","2/25/2025"
"5307","3000000","12","2/25/2025"
"5134","3000000","12","2/25/2025"
"5209","3020367","12","2/25/2025"
"3304","3036355","12","2/25/2025"
"3893","3050000","12","2/25/2025"
"2369","3100000","12","2/25/2025"
"3420","3108000","12","2/25/2025"
"4789","3126000","12","2/25/2025"
