Periodo,Sector,Departamento,Cargo,Provincia,Sueldo_Min_ARS,Sueldo_Max_ARS,Sueldo_Min_USD,Sueldo_Max_USD
2024-Q3,Automotriz,IT,Analista funcional,Litoral,2988539.04,4980897.48,2680.30407174888,4467.17262780269
2024-Q3,Automotriz,IT,Analista funcional,NEA,2858602.56,4764336.72,2563.76911210762,4272.9477309417
2024-Q3,Automotriz,IT,Analista funcional,NOA,2858602.56,4764336.72,2563.76911210762,4272.9477309417
2024-Q3,Automotriz,IT,Analista funcional,Patagonia,3248412,5414019,2913.37399103139,4855.62242152466
2024-Q3,Banca & Serv Financieros,IT,Analista funcional,Buenos Aires,3390650,6122008,3040.94170403587,5490.59013452915
2024-Q3,Banca & Serv Financieros,IT,Analista funcional,Cuyo,3119398,5632247.36,2797.666367713,5051.34292376682
2024-Q3,Banca & Serv Financieros,IT,Analista funcional,Litoral,3119398,5632247.36,2797.666367713,5051.34292376682
2024-Q3,Banca & Serv Financieros,IT,Analista funcional,NEA,2983772,5387367.04,2676.02869955157,4831.71931838565
2024-Q3,Banca & Serv Financieros,IT,Analista funcional,NOA,2983772,5387367.04,2676.02869955157,4831.71931838565
2024-Q3,Banca & Serv Financieros,IT,Analista funcional,Patagonia,3390650,6122008,3040.94170403587,5490.59013452915
2024-Q3,Consumo masivo,IT,Analista funcional,Buenos Aires,2998534,5414019,2689.26816143498,4855.62242152466
2024-Q3,Consumo masivo,IT,Analista funcional,Cuyo,2758651.28,4980897.48,2474.12670852018,4467.17262780269
2024-Q3,Consumo masivo,IT,Analista funcional,Litoral,2758651.28,4980897.48,2474.12670852018,4467.17262780269
2024-Q3,Consumo masivo,IT,Analista funcional,NEA,2638709.92,4764336.72,2366.55598206278,4272.9477309417
2024-Q3,Consumo masivo,IT,Analista funcional,NOA,2638709.92,4764336.72,2366.55598206278,4272.9477309417
2024-Q3,Consumo masivo,IT,Analista funcional,Patagonia,2998534,5414019,2689.26816143498,4855.62242152466
2024-Q3,Energía y Petróleo,IT,Analista funcional,Buenos Aires,3269555,5903364,2932.33632286995,5294.49686098655
2024-Q3,Energía y Petróleo,IT,Analista funcional,Cuyo,3007990.6,5431094.88,2697.74941704036,4870.93711210762
2024-Q3,Energía y Petróleo,IT,Analista funcional,Litoral,3007990.6,5431094.88,2697.74941704036,4870.93711210762
2024-Q3,Energía y Petróleo,IT,Analista funcional,NEA,2877208.4,5194960.32,2580.45596412556,4659.15723766816
